cpc1,cpc2,cpc3,  tech area
pat0520,H02M,Y02E,H02J,Solar Inverter
pat0521,Y02E,H02J,,Solar Inverter
pat0522,Y02E,H01R,H02G,Solar Mounting/Rack
pat0523,H02J,,,Solar Monitoring
pat0524,H02H,Y02E,,Solar Inverter
pat0525,H01L,Y02E,,Solar Mounting/Rack
pat0526,F24J,F16B,Y02E,Solar Mounting/Rack
pat0527,F24J,Y02E,H01L,Solar Mounting/Rack
pat0528,F24J,Y02E,H01L,Solar Mounting/Rack
pat0529,Y04S,H02J,Y04S,Site Assessment
pat0530,H01L,Y02E,,Solar Mounting/Rack
pat0531,Y02E,F24J,H01L,Solar Mounting/Rack
pat0532,H01L,Y02E,G08B,Solar Mounting/Rack
pat0533,Y02E,H01L,,Solar Mounting/Rack
pat0534,G08B,,,Solar Monitoring
pat0535,,,,Solar Inverter
pat0536,Y02E,F24J,Y02E,Solar Mounting/Rack
pat0537,Y02E,H01L,,Solar Mounting/Rack
pat0538,F24J,Y02E,H01L,Solar Mounting/Rack
pat0539,H02H,Y02E,,Solar Monitoring
pat0540,G01R,H04Q,H01L,Solar Monitoring
pat0541,F24J,Y02E,H01L,Solar Mounting/Rack
pat0542,G01W,G01C,,Site Assessment
pat0543,F24J,Y02B,,Solar Mounting/Rack
pat0544,H01L,H03K,,Solar Monitoring
pat0545,Y02E,H02J,,Solar Inverter
pat0546,Y02E,F24J,Y02E,Solar Mounting/Rack
pat0547,E04D,H01L,E04D,Solar Mounting/Rack
pat0548,,,,Solar Mounting/Rack
pat0549,F24J,Y02E,H01L,Solar Mounting/Rack
pat0550,,,,Solar Inverter
pat0551,G03G,G01R,,Solar Monitoring
pat0552,H02M,H02J,,Solar Inverter
pat0553,H01L,F24J,H02J,Solar Inverter
pat0554,Y02E,H01L,,Solar Mounting/Rack
pat0555,F24J,F16C,H01L,Solar Mounting/Rack
pat0556,F24J,Y02E,Y02B,Solar Mounting/Rack
pat0557,F24J,Y02B,Y02E,Solar Mounting/Rack
pat0558,F24J,Y02E,H01L,Solar Mounting/Rack
pat0559,F24J,H01L,Y02B,Solar Mounting/Rack
pat0560,F24J,H01L,Y02B,Solar Mounting/Rack
pat0561,F24J,H01L,Y02B,Solar Mounting/Rack
pat0562,G01R,H01L,H02J,Solar Monitoring
pat0563,H02M,,,Solar Inverter
pat0564,G01R,,,Solar Monitoring
pat0565,G01R,H01L,,Solar Monitoring
pat0566,Y02E,Y04S,H02J,Solar Inverter
pat0567,H02M,,,Solar Inverter
pat0568,G01R,G01D,H01L,Solar Monitoring
pat0569,F24J,Y02E,H01L,Solar Mounting/Rack
pat0570,Y02B,G01J,G01S,Solar Monitoring
pat0571,F24J,Y02B,Y02E,Solar Mounting/Rack
pat0572,G06F,,,Solar Monitoring
pat0573,Y02E,H01M,,Solar Monitoring
pat0574,H01L,Y02B,,Solar Mounting/Rack
pat0575,F24J,H01L,Y02B,Solar Mounting/Rack
pat0576,,,,Solar Mounting/Rack
