Top1	Top2	Top3	Top4	Top5	Top6	Top7	Top8	Top9	Top10	Top11	Top12	Top13	Top14	Top15	TA
0.1206743616	0.0002287359	0.0001798389	0.0163843276	0.1261244973	0.0002469565	0.6915162896	0.0028576299	0.0001144608	0.0004087785	0.0002930522	0.040337323	0.0001936343	0.0001499375	0.0002901765	Solar Mounting/Rack
9.49599313033e-05	0.0025644536	0.0025213332	0.5791435669	0.0143521926	0.0025805217	0.0096867004	0.0001572982	0.0001009387	0.3878498292	0.0002584319	0.0001308945	0.0001707589	0.0001322243	0.0002558959	Solar Mounting/Rack
0.003104191	0.0001298964	0.0472692522	0.000175347	0.0001131788	0.0001402437	0.0001518087	0.0137949755	6.5000950333e-05	0.1767284746	0.0366829038	8.42913804287e-05	0.1689986961	0.0016066679	0.5509550719	Solar Invertor
0.0001562393	0.3424282658	0.0002609364	0.1170717754	0.2257617858	0.0081332381	0.0003878686	0.0041462645	0.0001660764	0.2999274499	0.0004252027	0.0002153631	0.0002809527	0.0002175511	0.0004210303	Solar Mounting/Rack
7.41199249698e-05	0.0001574454	0.3247048385	0.1809451656	0.2417287595	0.0333657764	0.0204703205	0.0001227774	7.87866254699e-05	0.1256876888	0.0002017161	0.0001021683	0.000133284	0.0093242588	0.0629028942	Solar Mounting/Rack
0.0001073933	0.0002281247	0.1177517723	0.0003079451	0.0001987651	0.0002462966	0.000266607	0.0749967026	0.000114155	0.0511775922	0.1205367834	0.0001480329	0.347566158	0.0001495368	0.286204135	Solar Invertor
8.36890149668e-05	0.0001777721	0.0001397696	0.4812520267	0.0001548928	0.000191933	0.021030793	0.0001386283	8.89581995775e-05	0.4542598102	0.0002277583	0.0417614236	0.0001504913	0.0001165305	0.0002255233	Solar Mounting/Rack
0.000146554	0.1534632607	0.0002447609	0.397886014	0.0221500944	0.0003361081	0.2118593759	0.0002427622	0.0001557813	0.1974659992	0.0149847444	0.0002020127	0.0002635365	0.0002040651	0.0003949306	Solar Mounting/Rack
0.0001112581	0.0002363343	0.0527827964	0.0003190272	0.0002059181	0.0002551602	0.0002762015	0.0915369511	0.0001182631	0.0004223578	0.086118918	0.0001533602	0.0002000666	0.4486134085	0.3186499788	Solar Monitoring
7.87684226722e-05	0.6449651527	0.0275697574	0.0002258646	0.1392966859	0.0001806481	0.0001955449	0.0001304775	8.37277994879e-05	0.0159779951	0.000214367	0.1470989633	0.000141643	0.0020695507	0.0217708536	Solar Mounting/Rack
7.81557218807e-05	0.0001660182	0.0001305284	0.0002241077	0.0001446518	0.0118470046	0.0001940239	0.0001294626	0.0448094965	0.0002966945	0.0527176273	0.0001077313	0.6477013171	0.0001088258	0.2413443547	Solar Invertor
8.06655524006e-05	0.0001713496	0.0001347201	0.0002313045	0.000149297	0.5461094407	0.0002002546	0.00013362	8.57443753201e-05	0.0003062223	0.00021953	0.0001111909	0.2931780269	0.0001123205	0.1587763129	Solar Mounting/Rack
7.74031209043e-05	0.0290529369	0.0001292715	0.0002219497	0.0001432588	0.0001775169	0.0001921555	0.0078318205	0.0694147182	0.0002938375	0.0002106513	0.0001066939	0.8860537205	0.0001077778	0.0059862877	Solar Invertor
4.58672463939e-05	9.74311232996e-05	7.66032211552e-05	0.2124027514	0.5764126918	0.0229300556	0.0971195361	7.59776920358e-05	4.87551163125e-05	0.0355526593	0.0001248269	6.32242457362e-05	0.0548621515	6.38665766635e-05	0.0001236021	Solar Mounting/Rack
0.0001048713	0.0002227674	0.0001751463	0.0211755001	0.0001940973	0.0002405125	0.000260346	0.2872020347	0.0001114741	0.0186635505	0.0002854054	0.0001445565	0.670791108	0.0001460251	0.0002826048	Solar Invertor
9.36355440939e-06	1.98900456406e-05	1.56381401896e-05	2.68495355639e-05	1.73302031048e-05	2.14744446131e-05	2.32452966155e-05	0.0002484892	0.9985567607	0.0002685246	2.54827575105e-05	1.2906893513e-05	1.6837736784e-05	1.30380219557e-05	0.0007241689	Solar Invertor
